,0
0,0.2725450901803607
1,0.28724114896459585
2,0.3059452237808951
3,0.3246492985971944
4,0.33867735470941884
5,0.3573814295257181
6,0.3800935203740815
7,0.3861055444221777
8,0.39879759519038077
9,0.4028056112224449
10,0.40547762191048764
11,0.41148964595858384
12,0.41750167000668004
13,0.4228456913827655
14,0.4248496993987976
15,0.42685370741482964
16,0.42952571810287243
17,0.4308617234468938
18,0.4301937207748831
19,0.43754175016700064
20,0.4415497661990648
21,0.44288577154308617
22,0.44488977955911824
23,0.4455577822311289
24,0.44622578490313963
25,0.44622578490313963
26,0.4482297929191717
27,0.4482297929191717
28,0.44889779559118237
29,0.4482297929191717
30,0.44889779559118237
31,0.44956579826319304
32,0.45023380093520377
33,0.4529058116232465
34,0.4529058116232465
35,0.45357381429525717
36,0.45691382765531063
37,0.46092184368737477
38,0.4635938543754175
39,0.4642618570474282
40,0.4635938543754175
41,0.46292585170340683
42,0.46292585170340683
43,0.4635938543754175
44,0.4635938543754175
45,0.4649298597194389
46,0.4649298597194389
47,0.46559786239144957
48,0.46559786239144957
49,0.46693386773547096
50,0.46626586506346024
51,0.46693386773547096
52,0.46760187040748163
53,0.46760187040748163
54,0.46760187040748163
55,0.46760187040748163
56,0.46760187040748163
57,0.46760187040748163
58,0.46760187040748163
59,0.46760187040748163
60,0.4682698730794923
61,0.4682698730794923
62,0.4682698730794923
63,0.4682698730794923
64,0.4682698730794923
65,0.4682698730794923
66,0.4682698730794923
67,0.4682698730794923
68,0.4682698730794923
69,0.4682698730794923
70,0.4682698730794923
71,0.4682698730794923
72,0.4682698730794923
73,0.4682698730794923
74,0.4682698730794923
75,0.4682698730794923
76,0.4696058784235137
77,0.4729458917835671
78,0.47361389445557783
79,0.47227788911155644
80,0.4729458917835671
81,0.4729458917835671
82,0.47160988643954577
83,0.47160988643954577
84,0.47160988643954577
85,0.4729458917835671
86,0.47160988643954577
87,0.47160988643954577
88,0.4742818971275885
89,0.47361389445557783
90,0.4749498997995992
91,0.4729458917835671
92,0.47160988643954577
93,0.4709418837675351
94,0.47227788911155644
95,0.4756179024716099
96,0.46693386773547096
97,0.4696058784235137
98,0.46760187040748163
99,0.4696058784235137
100,0.46559786239144957
101,0.4642618570474282
102,0.46025384101536404
103,0.45958583834335337
104,0.45223780895123583
105,0.4482297929191717
106,0.4455577822311289
107,0.44021376085504343
108,0.4422177688710755
109,0.4415497661990648
110,0.43820975283901137
111,0.43820975283901137
112,0.44021376085504343
113,0.4415497661990648
114,0.43887775551102204
115,0.43687374749499
116,0.43754175016700064
117,0.43820975283901137
118,0.43754175016700064
119,0.43887775551102204
120,0.43887775551102204
121,0.44355377421509684
122,0.45023380093520377
123,0.4562458249832999
124,0.4649298597194389
125,0.46893787575150303
126,0.47695390781563124
127,0.49498997995991983
128,0.49766199064796257
129,0.5036740146960588
130,0.5050100200400801
131,0.511690046760187
132,0.518370073480294
133,0.5250501002004008
134,0.533066132264529
135,0.5370741482965932
136,0.5370741482965932
137,0.5370741482965932
138,0.5377421509686039
139,0.5370741482965932
140,0.5384101536406145
141,0.5384101536406145
142,0.5410821643286573
143,0.5450901803607214
144,0.5490981963927856
145,0.554442217768871
146,0.561122244488978
147,0.5871743486973948
148,0.5891783567134269
149,0.6105544422177689
150,0.6239144956579826
151,0.6245824983299934
152,0.6279225116900468
153,0.6265865063460254
154,0.625250501002004
155,0.625250501002004
156,0.6265865063460254
157,0.6265865063460254
158,0.6279225116900468
159,0.6332665330661322
160,0.6239144956579826
161,0.6379425517702071
162,0.6506346025384101
163,0.6626586506346025
164,0.6680026720106881
165,0.6726786907147628
166,0.7120908483633934
167,0.7221108884435538
168,0.7488309953239813
169,0.758183032732131
170,0.7595190380761523
171,0.7695390781563126
172,0.7748830995323981
173,0.7842351369405478
174,0.7855711422845691
175,0.7882431529726119
176,0.7882431529726119
177,0.7882431529726119
178,0.7882431529726119
179,0.7889111556446226
180,0.7889111556446226
181,0.7889111556446226
182,0.7889111556446226
183,0.7889111556446226
184,0.7889111556446226
185,0.7889111556446226
186,0.7889111556446226
187,0.7889111556446226
188,0.7889111556446226
189,0.7889111556446226
190,0.7889111556446226
191,0.7889111556446226
192,0.7889111556446226
193,0.7889111556446226
194,0.7889111556446226
195,0.7889111556446226
196,0.7889111556446226
197,0.7889111556446226
198,0.7889111556446226
199,0.7889111556446226
200,0.7889111556446226
201,0.7889111556446226
202,0.7889111556446226
203,0.7889111556446226
204,0.7889111556446226
205,0.7889111556446226
206,0.7889111556446226
207,0.7889111556446226
208,0.7889111556446226
209,0.7895791583166333
210,0.7909151636606546
211,0.7909151636606546
212,0.790247160988644
213,0.7895791583166333
214,0.7889111556446226
215,0.7935871743486974
216,0.7942551770207081
217,0.7962591850367402
218,0.7949231796927188
219,0.7949231796927188
220,0.7949231796927188
221,0.7929191716766867
222,0.7962591850367402
223,0.8049432197728791
224,0.8082832331329325
225,0.811623246492986
226,0.8109552438209753
227,0.8136272545090181
228,0.8142952571810287
229,0.8249832999331997
230,0.824315297261189
231,0.8269873079492318
232,0.8263193052772211
233,0.8263193052772211
234,0.8263193052772211
235,0.8276553106212425
236,0.8276553106212425
237,0.8249832999331997
238,0.8256513026052105
239,0.8269873079492318
240,0.8283233132932531
241,0.8283233132932531
242,0.8309953239812959
243,0.8309953239812959
244,0.8309953239812959
245,0.8309953239812959
246,0.8309953239812959
247,0.8309953239812959
248,0.8316633266533067
249,0.8323313293253173
250,0.832999331997328
251,0.8356713426853707
252,0.8376753507014028
253,0.8430193720774883
254,0.8423513694054776
255,0.8430193720774883
256,0.843687374749499
257,0.8450233800935204
258,0.8450233800935204
259,0.843687374749499
260,0.845691382765531
261,0.8450233800935204
262,0.8463593854375417
263,0.8463593854375417
264,0.8463593854375417
265,0.8463593854375417
266,0.8463593854375417
267,0.8443553774215097
268,0.843687374749499
269,0.8383433533734135
270,0.8370073480293921
271,0.8363393453573814
272,0.8363393453573814
273,0.8356713426853707
274,0.8350033400133601
275,0.8336673346693386
276,0.8189712758851035
277,0.8162992651970608
278,0.8102872411489646
279,0.8096192384769539
280,0.8096192384769539
281,0.8136272545090181
282,0.8149632598530394
283,0.8142952571810287
284,0.8129592518370073
285,0.8109552438209753
286,0.8136272545090181
287,0.8122912491649966
288,0.8109552438209753
289,0.811623246492986
290,0.8109552438209753
291,0.8102872411489646
292,0.8096192384769539
293,0.8096192384769539
294,0.8096192384769539
295,0.8096192384769539
296,0.8096192384769539
297,0.8096192384769539
298,0.8096192384769539
299,0.8102872411489646
300,0.8102872411489646
301,0.8109552438209753
302,0.8109552438209753
303,0.8109552438209753
304,0.811623246492986
305,0.811623246492986
306,0.811623246492986
307,0.811623246492986
308,0.811623246492986
309,0.811623246492986
310,0.8122912491649966
311,0.8122912491649966
312,0.811623246492986
313,0.811623246492986
314,0.811623246492986
315,0.8129592518370073
316,0.8136272545090181
317,0.8142952571810287
318,0.8149632598530394
319,0.8162992651970608
320,0.8162992651970608
321,0.8183032732130928
322,0.8189712758851035
323,0.8183032732130928
324,0.8183032732130928
325,0.8176352705410822
326,0.8176352705410822
327,0.8216432865731463
