,0
0,0.0286
1,0.0314
2,0.0339
3,0.0366
4,0.0405
5,0.0439
6,0.0477
7,0.05
8,0.0528
9,0.0544
10,0.056
11,0.0571
12,0.0588
13,0.0604
14,0.0611
15,0.0624
16,0.0629
17,0.0636
18,0.0641
19,0.0657
20,0.0668
21,0.0674
22,0.0678
23,0.068
24,0.0681
25,0.068
26,0.0682
27,0.0682
28,0.0683
29,0.0682
30,0.0683
31,0.0684
32,0.0686
33,0.0689
34,0.069
35,0.0695
36,0.0706
37,0.0714
38,0.072
39,0.073
40,0.073
41,0.0731
42,0.0733
43,0.0734
44,0.0736
45,0.0741
46,0.0742
47,0.0743
48,0.0744
49,0.0746
50,0.0745
51,0.0745
52,0.0746
53,0.0744
54,0.0745
55,0.0745
56,0.0744
57,0.0744
58,0.0744
59,0.0744
60,0.0743
61,0.0743
62,0.0743
63,0.0743
64,0.0743
65,0.0743
66,0.0743
67,0.0743
68,0.0743
69,0.0742
70,0.0742
71,0.0742
72,0.0742
73,0.0742
74,0.0741
75,0.074
76,0.0744
77,0.0753
78,0.0756
79,0.0761
80,0.0764
81,0.0767
82,0.0769
83,0.0766
84,0.0763
85,0.0764
86,0.0763
87,0.0763
88,0.076
89,0.076
90,0.0759
91,0.0756
92,0.0748
93,0.0732
94,0.0727
95,0.0726
96,0.0708
97,0.0708
98,0.07
99,0.0703
100,0.0696
101,0.0687
102,0.0677
103,0.0668
104,0.0657
105,0.0653
106,0.065
107,0.0645
108,0.0644
109,0.0639
110,0.0634
111,0.0634
112,0.0634
113,0.0629
114,0.0625
115,0.0622
116,0.0621
117,0.0623
118,0.062
119,0.0626
120,0.0626
121,0.0632
122,0.0642
123,0.0654
124,0.0676
125,0.0698
126,0.0724
127,0.0773
128,0.0795
129,0.0827
130,0.0841
131,0.0886
132,0.0919
133,0.0945
134,0.0967
135,0.098
136,0.099
137,0.099
138,0.0995
139,0.0986
140,0.0984
141,0.0983
142,0.099
143,0.0997
144,0.1003
145,0.102
146,0.1042
147,0.1074
148,0.1087
149,0.112
150,0.1147
151,0.1153
152,0.1161
153,0.1161
154,0.1165
155,0.1166
156,0.1169
157,0.1176
158,0.1178
159,0.1185
160,0.1183
161,0.1192
162,0.1208
163,0.1231
164,0.1244
165,0.1265
166,0.1305
167,0.1326
168,0.1369
169,0.1374
170,0.138
171,0.1403
172,0.1419
173,0.1429
174,0.1433
175,0.1447
176,0.1454
177,0.1462
178,0.1465
179,0.1465
180,0.1466
181,0.1466
182,0.1465
183,0.1465
184,0.1465
185,0.1465
186,0.1464
187,0.1464
188,0.1464
189,0.1464
190,0.1464
191,0.1464
192,0.1464
193,0.1464
194,0.1464
195,0.1464
196,0.1464
197,0.1464
198,0.1465
199,0.1465
200,0.1465
201,0.1465
202,0.1465
203,0.1466
204,0.1467
205,0.1467
206,0.1467
207,0.1467
208,0.1468
209,0.1468
210,0.147
211,0.1469
212,0.1469
213,0.1466
214,0.1464
215,0.1471
216,0.1468
217,0.1467
218,0.1464
219,0.1464
220,0.1464
221,0.1465
222,0.1462
223,0.1472
224,0.1478
225,0.1481
226,0.1481
227,0.148
228,0.1481
229,0.1481
230,0.1473
231,0.1469
232,0.1462
233,0.145
234,0.1449
235,0.1448
236,0.1444
237,0.1433
238,0.1432
239,0.143
240,0.1431
241,0.1433
242,0.1436
243,0.1439
244,0.1442
245,0.1442
246,0.1442
247,0.1442
248,0.1442
249,0.1444
250,0.1445
251,0.1452
252,0.146
253,0.1484
254,0.1491
255,0.15
256,0.1503
257,0.151
258,0.1513
259,0.152
260,0.1529
261,0.1531
262,0.1537
263,0.154
264,0.1542
265,0.1546
266,0.1545
267,0.1539
268,0.1531
269,0.1522
270,0.1516
271,0.1518
272,0.152
273,0.1522
274,0.1527
275,0.1536
276,0.1537
277,0.1537
278,0.1536
279,0.1532
280,0.1534
281,0.1528
282,0.1519
283,0.1506
284,0.149
285,0.1472
286,0.1468
287,0.1463
288,0.1452
289,0.1448
290,0.1445
291,0.1441
292,0.1437
293,0.1433
294,0.1433
295,0.1432
296,0.1431
297,0.1432
298,0.1432
299,0.1434
300,0.1437
301,0.1442
302,0.1444
303,0.1445
304,0.1447
305,0.1448
306,0.1449
307,0.1449
308,0.1448
309,0.1449
310,0.1453
311,0.1454
312,0.1457
313,0.1457
314,0.1456
315,0.1457
316,0.1461
317,0.1464
318,0.1463
319,0.1468
320,0.1471
321,0.1485
322,0.1491
323,0.1507
324,0.1515
325,0.1529
326,0.1538
327,0.1558
328,0.1571
329,0.1578
330,0.1578
331,0.1578
332,0.1578
333,0.1578
334,0.1578
335,0.1578
336,0.1578
337,0.1577
338,0.1577
339,0.1576
340,0.1576
341,0.1572
342,0.1567
343,0.1563
344,0.1558
345,0.1547
346,0.1515
347,0.1508
348,0.1507
349,0.1506
350,0.1508
351,0.1507
352,0.1506
353,0.1506
354,0.1506
355,0.1506
356,0.1506
357,0.1506
358,0.1507
359,0.1507
360,0.1507
361,0.1506
362,0.1504
363,0.1499
364,0.1487
365,0.1477
366,0.1466
367,0.1462
368,0.1463
369,0.1456
370,0.1442
371,0.1423
372,0.1399
373,0.137
374,0.1357
375,0.1331
376,0.1277
377,0.1257
378,0.1239
379,0.1204
380,0.1177
381,0.1153
382,0.1144
383,0.1143
384,0.1143
385,0.1143
386,0.1143
387,0.1143
388,0.1143
389,0.1143
390,0.1143
391,0.1143
392,0.1143
393,0.1143
394,0.1143
395,0.1143
396,0.1143
397,0.1143
398,0.1143
399,0.1143
400,0.1143
401,0.1143
402,0.1143
403,0.1143
404,0.1143
405,0.1143
406,0.1143
407,0.1143
408,0.1143
409,0.1143
410,0.1143
411,0.1144
412,0.1144
413,0.1142
414,0.1137
415,0.1124
416,0.1107
417,0.1094
418,0.1086
419,0.1074
420,0.1059
421,0.1049
422,0.1043
423,0.1035
424,0.1034
425,0.1033
426,0.1027
427,0.1024
428,0.1019
429,0.1028
430,0.1033
431,0.1036
432,0.105
433,0.1058
434,0.1058
435,0.1057
436,0.1056
437,0.1055
438,0.1056
439,0.1059
440,0.1069
441,0.1086
442,0.1098
443,0.1101
444,0.11
445,0.11
446,0.1098
447,0.1098
448,0.1098
449,0.1097
450,0.1098
451,0.1097
452,0.1097
453,0.1098
454,0.1099
455,0.1107
456,0.111
457,0.1121
458,0.1145
459,0.1153
460,0.1148
461,0.1145
462,0.1148
463,0.1154
464,0.1159
465,0.1166
466,0.1168
467,0.1168
468,0.1167
469,0.1166
470,0.1157
471,0.1158
472,0.1158
473,0.1145
474,0.1144
475,0.1144
476,0.115
477,0.1147
478,0.1144
479,0.1139
480,0.1123
481,0.1109
482,0.1101
483,0.1098
484,0.1088
485,0.1074
486,0.1059
487,0.103
488,0.1007
489,0.0972
490,0.0938
491,0.0897
492,0.0871
493,0.0866
494,0.0856
495,0.0843
496,0.0818
497,0.0809
498,0.0806
499,0.0792
500,0.0789
501,0.0785
502,0.0777
503,0.0766
504,0.0748
505,0.0714
506,0.069
507,0.0665
